,URL,URL-href,TotalRating,TypeLevel1_x,TotalSeat,service_pet_friendly,service_Wi-Fi,service_reservation,service_Parking,service_Good for Groups,service_Delivery,service_Good for Kids,service_alcohol,service_Credit Card,review_wordlist,ReviewScore,TotalReview,PriceRange,Province,2020Reward,RecMenu1,RecMenu2,RecMenu3,rest_service_Cluster,friend,family,couple,rush,save,delivery,hungry,party,business
4262,House Cake & Coffee,https://www.wongnai.com/restaurants/711573Qa-house-cake-coffee,3,คาเฟ่,ไม่เกิน 10 ที่นั่ง,0,1,1,1,1,1,1,0,0,[],4.0,2.0,฿,ชลบุรี,0.0,,,,2,50.0,0.0,50.0,0.0,0,0,0.0,0,0.0
4263,ป้ามลส้มตำ,https://www.wongnai.com/restaurants/24388hZ-%E0%B8%9B%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B8%A5%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B8%B3,155,อาหารอีสาน/ร้านส้มตำ,41 - 80 ที่นั่ง,0,0,0,1,0,1,0,0,0,"['ที่จอดรถ', 'กลมกล่อม']",3.6,133.0,฿฿,ชลบุรี,0.0,ไก่ทอดใบเตย,ต้มแซ่บกระดูกอ่อน,ปูกะตอยทอด,0,52.0,45.0,0.0,0.0,0,0,21.0,0,0.0
4264,เออ กุ้งเผา,https://www.wongnai.com/restaurants/354531ek-%E0%B9%80%E0%B8%AD%E0%B8%AD-%E0%B8%81%E0%B8%B8%E0%B9%89%E0%B8%87%E0%B9%80%E0%B8%9C%E0%B8%B2,7,อาหารทะเล,81 - 150  ที่นั่ง,0,1,1,1,1,0,1,1,0,[],3.5,6.0,฿฿฿,ชลบุรี,0.0,กุ้งเผา12ตัวโล,ปลากระพงทอดน้ำปลา,หอยหวาน,1,43.0,29.0,14.0,0.0,0,0,0.0,0,0.0
4265,Sweet Pie Cafe,https://www.wongnai.com/restaurants/342997oG-sweet-pie-cafe,25,ร้านกาแฟ/ชา,None,0,1,0,1,0,1,0,0,0,[],4.1,21.0,฿฿,ชลบุรี,0.0,คาปชิโน่ เย็น,Matcha Latte,ข้าวหมูทอดทงคัตสึ,0,29.0,24.0,0.0,14.0,0,0,0.0,0,0.0
4266,Fuku Yakiniku (ฟูกุ พัทยา)พัทยา,https://www.wongnai.com/restaurants/447935Ca-fuku-yakiniku-%E0%B8%9F%E0%B8%B9%E0%B8%81%E0%B8%B8-%E0%B8%9E%E0%B8%B1%E0%B8%97%E0%B8%A2%E0%B8%B2-%E0%B8%9E%E0%B8%B1%E0%B8%97%E0%B8%A2%E0%B8%B2,28,ปิ้งย่าง,None,0,0,0,1,0,1,0,0,1,[],4.4,16.0,฿฿฿฿,ชลบุรี,0.0,หอยนางรมเกาหลี  พร้อมพริกเผา หอมเจียว,,,0,69.0,50.0,0.0,0.0,0,0,38.0,0,0.0
4267,Monkey & Me Cafe and Restaurant,https://www.wongnai.com/restaurants/394066Qx-monkey-me-cafe-and-restaurant,12,คาเฟ่,11 - 40 ที่นั่ง,0,1,0,1,1,1,1,1,0,[],4.1,5.0,฿฿,ชลบุรี,0.0,สปาเกตตี้คาโบนาร่า,อิตาเลียนโซดา,เดนิสมอคค่าช้อคชิพ,2,0.0,0.0,20.0,0.0,0,0,0.0,0,0.0
4268,U Mai Kai Ten Sushi @ J Park,https://www.wongnai.com/restaurants/umai-sriracha,57,ซูชิ,None,0,0,1,1,1,1,1,0,1,[],3.3,52.0,฿฿฿,ชลบุรี,0.0,ยำปลาแซลม่อน,ซูชิ,ซูชิหน้าปลาไหล,1,52.0,56.0,37.0,0.0,0,0,0.0,0,0.0
4269,Sunrise Cafe',https://www.wongnai.com/restaurants/500059hh-sunrise-cafe,5,คาเฟ่,None,0,0,0,0,0,1,0,0,0,[],4.6,3.0,฿,ชลบุรี,0.0,บรามันเจะ,โมจิหยดน้ำ,Outo Coffee,0,0.0,33.0,67.0,0.0,33,0,0.0,0,0.0
4270,โจ้  กะเพราเป็ดหลังวัดธรรม(ย้ายไปซ.เขาตาโล),https://www.wongnai.com/restaurants/172417Rr-%E0%B9%82%E0%B8%88%E0%B9%89-%E0%B8%81%E0%B8%B0%E0%B9%80%E0%B8%9E%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%94%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1-%E0%B8%A2%E0%B9%89%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9B%E0%B8%8B-%E0%B9%80%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%B2%E0%B9%82%E0%B8%A5,28,ก๋วยเตี๋ยว,11 - 40 ที่นั่ง,1,0,0,1,0,1,0,0,0,[],4.0,19.0,฿,ชลบุรี,0.0,ก๋วยเตี๋ยวเป็ดตุ๋น ธรรมดา,กะเพราเป็ด ใส่เครื่องใน พิเศษ,ไข่เจียว,0,0.0,0.0,0.0,42.0,37,0,47.0,0,0.0
4271,เตี๋ยวเป็ด-เขาชีจรรย์,https://www.wongnai.com/restaurants/362427qe-%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%94-%E0%B9%80%E0%B8%82%E0%B8%B2%E0%B8%8A%E0%B8%B5%E0%B8%88%E0%B8%A3%E0%B8%A3%E0%B8%A2%E0%B9%8C,11,อาหารมุสลิม/ฮาลาล,81 - 150  ที่นั่ง,0,0,1,1,1,1,1,0,0,[],4.1,11.0,฿,ชลบุรี,0.0,,,,2,9.0,0.0,0.0,0.0,9,0,9.0,0,0.0
4272,ข้าวต้มเป็ดเจ็กตง,https://www.wongnai.com/restaurants/11278DR-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%94%E0%B9%80%E0%B8%88%E0%B9%87%E0%B8%81%E0%B8%95%E0%B8%87,61,อาหารจีน,None,0,0,0,1,1,0,1,0,0,[],4.0,50.0,฿,ชลบุรี,0.0,ข้าวต้มปลา,ข้าวแห้งเป็ด,ข้าวต้มเป็ด,2,0.0,46.0,0.0,32.0,0,0,32.0,0,0.0
4273,หมูปลาร้าผับ บางแสน,https://www.wongnai.com/restaurants/310891qx-%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%9B%E0%B8%A5%E0%B8%B2%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%9C%E0%B8%B1%E0%B8%9A-%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%AA%E0%B8%99,28,สตรีทฟู้ด/รถเข็น,มากกว่า 150 ที่นั่ง,0,0,0,1,1,1,1,1,0,[],3.9,21.0,฿฿,ชลบุรี,0.0,หมูปลาร้า Set S,หมูปลาร้าSet M,หมูปลาร้า Set M,2,43.0,0.0,0.0,0.0,29,0,24.0,0,0.0
4274,Nanjyatei,https://www.wongnai.com/restaurants/235478Zu-nanjyatei,8,อาหารญี่ปุ่น,11 - 40 ที่นั่ง,0,0,0,1,0,1,0,0,0,[],4.6,6.0,฿฿,ชลบุรี,0.0,,,,0,0.0,0.0,17.0,0.0,0,17,33.0,0,0.0
4275,SC CAFE and Restaurant,https://www.wongnai.com/restaurants/218897YI-sc-cafe-and-restaurant,69,ร้านกาแฟ/ชา,11 - 40 ที่นั่ง,0,1,1,1,1,1,1,1,1,[],3.5,45.0,฿฿,ชลบุรี,0.0,ข้าวผัดต้มยำทะเลกุ้ง,ติ่มซำ,ข้าวห่อใบบัว,1,56.0,36.0,33.0,0.0,0,0,0.0,0,0.0
4276,ข้าวหมูแดงป้าลบ,https://www.wongnai.com/restaurants/234135Hq-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%81%E0%B8%94%E0%B8%87%E0%B8%9B%E0%B9%89%E0%B8%B2%E0%B8%A5%E0%B8%9A,71,อาหารจานเดียว,11 - 40 ที่นั่ง,0,0,0,1,0,1,0,0,0,[],3.9,53.0,฿,ชลบุรี,0.0,ข้าวหมูแดงหมูกรอบ (ธรรมดา),ข้าวหมูแดงหมูกรอบซอสกะเพรา,ข้าวหมูกรอบพิเศษน้ำราดเยอะ,0,0.0,0.0,0.0,28.0,28,0,24.0,0,0.0
4277,Chilli Cafe Bangsaray-,https://www.wongnai.com/restaurants/395131Kv-chilli-cafe-bangsaray,10,คาเฟ่,11 - 40 ที่นั่ง,1,1,1,1,1,1,1,1,0,[],3.7,8.0,฿฿,ชลบุรี,0.0,Chilli Coffee,Americano,French Toast,1,50.0,25.0,50.0,0.0,0,0,0.0,0,0.0
4278,Naga Garden & Cafe,https://www.wongnai.com/restaurants/401787Oh-naga-garden-cafe,23,อาหารไทย,มากกว่า 150 ที่นั่ง,1,1,1,1,1,1,1,1,0,[],3.6,22.0,฿฿,ชลบุรี,0.0,พุดดิ้งชาไทย,,,1,32.0,27.0,18.0,0.0,0,0,0.0,0,0.0
4279,มันส์ปาก บุฟเฟ่ต์ทะเลเผาพัทยา,https://www.wongnai.com/restaurants/297533ar-%E0%B8%A1%E0%B8%B1%E0%B8%99%E0%B8%AA%E0%B9%8C%E0%B8%9B%E0%B8%B2%E0%B8%81-%E0%B8%9A%E0%B8%B8%E0%B8%9F%E0%B9%80%E0%B8%9F%E0%B9%88%E0%B8%95%E0%B9%8C%E0%B8%97%E0%B8%B0%E0%B9%80%E0%B8%A5%E0%B9%80%E0%B8%9C%E0%B8%B2-%E0%B8%9E%E0%B8%B1%E0%B8%97%E0%B8%A2%E0%B8%B2,7,อาหารทะเล,81 - 150  ที่นั่ง,0,1,1,1,1,0,1,1,0,[],4.0,7.0,฿฿฿,ชลบุรี,0.0,ทองหยิบทองหยอด,ส้มตำ,ไลน์บุฟเฟ่ต์ของทะเลทั้งหมด,1,29.0,29.0,0.0,0.0,0,0,0.0,14,0.0
4280,ชิดชล ณ บ้านจำปี,https://www.wongnai.com/restaurants/131187PG-%E0%B8%8A%E0%B8%B4%E0%B8%94%E0%B8%8A%E0%B8%A5-%E0%B8%93-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B3%E0%B8%9B%E0%B8%B5,3,เบเกอรี/เค้ก,None,0,0,0,1,0,1,1,0,0,[],5.0,3.0,฿,ชลบุรี,0.0,Brownie,,,2,100.0,0.0,67.0,0.0,67,0,0.0,0,0.0
4281,Castello Di Bellagio,https://www.wongnai.com/restaurants/676522kD-castello-di-bellagio,11,อาหารอิตาเลียน,None,0,0,0,1,0,0,0,0,1,[],4.0,9.0,฿฿฿฿,ชลบุรี,0.0,โฟกราส์ รีซอตโต้,,,0,44.0,44.0,44.0,0.0,0,0,0.0,0,0.0
4282,ครัวมณีรัตน์อ่างศิลา,https://www.wongnai.com/restaurants/323558Ec-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%A1%E0%B8%93%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C-%E0%B8%AD%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%B2,40,อาหารทะเล,81 - 150  ที่นั่ง,1,1,1,1,1,1,1,1,1,[],4.1,34.0,฿฿,ชลบุรี,0.0,ปลากะพงมณีรัตน์,ปูนิ่มผัดพริกไทยดำ,แกงส้มไข่ปลาเรียวเซียว,1,32.0,35.0,21.0,0.0,0,0,0.0,0,0.0
4283,ยกทะเล ซีฟู้ด,https://www.wongnai.com/restaurants/293514rb-%E0%B8%A2%E0%B8%81%E0%B8%97%E0%B8%B0%E0%B9%80%E0%B8%A5-%E0%B8%8B%E0%B8%B5%E0%B8%9F%E0%B8%B9%E0%B9%89%E0%B8%94,22,อาหารทะเล,11 - 40 ที่นั่ง,0,0,0,1,1,1,0,0,1,[],4.3,13.0,฿฿฿,ชลบุรี,0.0,ยำปูไข่ดองไซส์ เล็ก,กุ้งหัวไข่เผา ครึ่งโล,ปลาเห็ดโคนทอดกระเทียม,0,54.0,62.0,31.0,0.0,0,0,0.0,0,0.0
4284,Atara Sky Bar & Bistro,https://www.wongnai.com/restaurants/425121rJ-atara-sky-bar-bistro,15,อาหารฟิวชั่น,None,0,0,0,1,0,1,0,0,1,[],3.7,11.0,฿฿฿฿,ชลบุรี,0.0,ไอศกรีมโบราณสัปปะรดศรีราชากับพริกเกลือ,ขาหมูทอด,ยำปลาอินทรีย์ศรีราชา,0,18.0,0.0,27.0,0.0,0,0,0.0,18,0.0
4285,Sizzlerเซ็นทรัลเฟสติวัล พัทยา บีช,https://www.wongnai.com/restaurants/135809ac-sizzler-%E0%B9%80%E0%B8%8B%E0%B9%87%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B1%E0%B8%A5%E0%B9%80%E0%B8%9F%E0%B8%AA%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B8%B1%E0%B8%A5-%E0%B8%9E%E0%B8%B1%E0%B8%97%E0%B8%A2%E0%B8%B2-%E0%B8%9A%E0%B8%B5%E0%B8%8A,52,สเต๊ก,41 - 80 ที่นั่ง,0,0,0,1,1,1,1,0,1,[],4.0,49.0,฿฿฿,ชลบุรี,0.0,สลัดบาร์,สเต็ก,ซิสเล่อร์โทสต์,2,61.0,78.0,37.0,0.0,0,0,0.0,0,0.0
4286,ป้ามล ศรีราชา,https://www.wongnai.com/restaurants/155665AT-%E0%B8%9B%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B8%A5-%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%B2,43,อาหารไทย,11 - 40 ที่นั่ง,0,0,1,1,1,0,1,0,0,[],4.3,32.0,฿฿,ชลบุรี,0.0,ต้มยำปลาทู,ปลาอินทรีย์ทอดน้ำปลา,ฉลามผัดฉ่า,2,38.0,22.0,0.0,31.0,0,0,0.0,0,0.0
4287,ป้าพัชรีข้าวต้มปลาข้าวแห้ง,https://www.wongnai.com/restaurants/156834xJ-%E0%B8%9B%E0%B9%89%E0%B8%B2%E0%B8%9E%E0%B8%B1%E0%B8%8A%E0%B8%A3%E0%B8%B5%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%9B%E0%B8%A5%E0%B8%B2%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%81%E0%B8%AB%E0%B9%89%E0%B8%87,32,อาหารจานเดียว,None,0,0,0,1,0,1,0,0,0,[],4.1,23.0,฿,ชลบุรี,0.0,ข้าวแห้งรวมมิตร,ข้าวแห้ง,ข้าวแห้ง ก๋วยเตี๋ยวคั่ว ผัดซีอิ๊ว,0,0.0,43.0,0.0,30.0,35,0,0.0,0,0.0
4288,ร้านครอบครัวลาบศรีสะเกษเทพประสิทธิ์ซอย 17,https://www.wongnai.com/restaurants/291170yi-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%9A%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%A5%E0%B8%B2%E0%B8%9A%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%AA%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B8%A9-%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AA%E0%B8%B4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B9%8C%E0%B8%8B%E0%B8%AD%E0%B8%A2-17,8,อาหารอีสาน/ร้านส้มตำ,None,0,0,0,1,0,1,0,0,0,[],4.3,5.0,฿฿,ชลบุรี,0.0,ตำป่าทะเลหอยดอง,ไก่ย่าง,ตำปูม้า,0,80.0,60.0,0.0,0.0,0,0,0.0,20,0.0
4289,La Ferme Restaurant,https://www.wongnai.com/restaurants/lafermepattaya,134,สเต๊ก,11 - 40 ที่นั่ง,0,1,1,1,1,1,0,1,1,"['พนักงาน', 'ขนมปัง', 'บริการ', 'บรรยากาศ', 'baguette', 'สวยงาม', 'เครื่องเทศ']",3.9,112.0,฿฿฿฿,ชลบุรี,0.0,,,,1,56.0,45.0,70.0,0.0,0,0,0.0,0,0.0
4290,ข้าวต้มบางปะกงสาขา 3,https://www.wongnai.com/restaurants/16188HV-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%9B%E0%B8%B0%E0%B8%81%E0%B8%87-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2-3,22,อาหารทะเล,41 - 80 ที่นั่ง,0,0,1,1,1,1,1,1,0,[],3.7,18.0,฿฿,ชลบุรี,0.0,ไส้ตันทอดกระเทียม,ยำไส้ตัน,ยำปลาสลิดทอดกรอบ,1,72.0,72.0,0.0,0.0,0,0,33.0,0,0.0
4291,HaVaNa BarHoliday Inn Pattaya,https://www.wongnai.com/restaurants/124125sQ-havana-bar-holiday-inn-pattaya,21,อาหารอิตาเลียน,None,0,0,1,1,1,0,1,0,1,[],4.7,16.0,฿฿฿,ชลบุรี,0.0,ซี่โครงหมู BBQ,Mojito,ทอดมันกุ้ง,1,0.0,31.0,0.0,0.0,0,0,0.0,0,0.0
4292,Buma Cafe,https://www.wongnai.com/restaurants/302928Wj-buma-cafe,12,คาเฟ่,41 - 80 ที่นั่ง,0,1,1,1,1,0,1,0,0,[],4.3,10.0,฿฿,ชลบุรี,0.0,สปาเก็ตนี้ขี้เมาทะเล,ข้าวกะเพราปลาหมึก,,2,20.0,40.0,20.0,0.0,0,0,0.0,0,0.0
4293,Melco Sweet Café,https://www.wongnai.com/restaurants/235107AL-melco-sweet-caf%C3%A9,40,คาเฟ่,11 - 40 ที่นั่ง,0,1,0,1,0,1,0,0,0,[],4.3,30.0,฿฿,ชลบุรี,0.0,ข้าวกะเพราชาม,Sticky Date Pudding,สปาเก็ตตี้มันกุ้งยอดผักกระเฉด,0,42.0,32.0,42.0,0.0,0,0,0.0,0,0.0
4294,ริมทะเลซีฟู้ด,https://www.wongnai.com/restaurants/7398Oj-%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%97%E0%B8%B0%E0%B9%80%E0%B8%A5%E0%B8%8B%E0%B8%B5%E0%B8%9F%E0%B8%B9%E0%B9%89%E0%B8%94,29,อาหารทะเล,มากกว่า 150 ที่นั่ง,0,1,1,1,1,1,1,1,1,[],3.1,19.0,฿฿฿฿,ชลบุรี,0.0,ต้มยำกุ้ง,ยำปซลมอน,ยำปลาหมึก,1,37.0,42.0,26.0,0.0,0,0,0.0,0,0.0
4295,Khun Phra - คุณพระ หมูกะทะ บาร์บีคิว&ซีฟู้ด,https://www.wongnai.com/restaurants/277061ko-khun-phra-%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%9E%E0%B8%A3%E0%B8%B0-%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%81%E0%B8%B0%E0%B8%97%E0%B8%B0-%E0%B8%9A%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%9A%E0%B8%B5%E0%B8%84%E0%B8%B4%E0%B8%A7-%E0%B8%8B%E0%B8%B5%E0%B8%9F%E0%B8%B9%E0%B9%89%E0%B8%94,18,ปิ้งย่าง,มากกว่า 150 ที่นั่ง,0,0,1,1,1,1,0,0,0,[],3.4,10.0,฿฿,ชลบุรี,0.0,,,,2,50.0,40.0,0.0,0.0,0,0,50.0,0,0.0
4296,ตึ๋งซีฟู้ด,https://www.wongnai.com/restaurants/83461ml-%E0%B8%95%E0%B8%B6%E0%B9%8B%E0%B8%87%E0%B8%8B%E0%B8%B5%E0%B8%9F%E0%B8%B9%E0%B9%89%E0%B8%94,18,อาหารทะเล,None,0,0,0,1,0,0,0,0,0,[],4.1,16.0,฿฿฿,ชลบุรี,0.0,ปลาหมึกผัดไข่เค็ม,ปลากระพงนึ่งซีอิ้ว,ปลากระพงนึ่งมะนาว,0,44.0,44.0,0.0,0.0,0,0,6.0,0,0.0
4297,หญิงผกา ขนมไทย - Bakery,https://www.wongnai.com/restaurants/536033kJ-%E0%B8%AB%E0%B8%8D%E0%B8%B4%E0%B8%87%E0%B8%9C%E0%B8%81%E0%B8%B2-%E0%B8%82%E0%B8%99%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2-bakery,1,ของหวาน,ไม่มีที่นั่ง/จัดส่งเท่านั้น,0,1,1,1,0,1,0,0,0,[],4.0,1.0,฿,ชลบุรี,0.0,,,,0,0.0,0.0,100.0,100.0,0,0,0.0,0,0.0
4298,จอมเทียนทะเลเผา บุฟเฟ่ต์,https://www.wongnai.com/restaurants/193465FJ-%E0%B8%88%E0%B8%AD%E0%B8%A1%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%97%E0%B8%B0%E0%B9%80%E0%B8%A5%E0%B9%80%E0%B8%9C%E0%B8%B2-%E0%B8%9A%E0%B8%B8%E0%B8%9F%E0%B9%80%E0%B8%9F%E0%B9%88%E0%B8%95%E0%B9%8C,88,บุฟเฟ่ต์,None,0,0,0,1,0,0,0,0,0,[],4.1,69.0,฿฿฿,ชลบุรี,0.0,,,,0,58.0,46.0,0.0,0.0,0,0,35.0,0,0.0
4299,รับลม ชมเกาะ,https://www.wongnai.com/restaurants/9403Ww-%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%A5%E0%B8%A1-%E0%B8%8A%E0%B8%A1%E0%B9%80%E0%B8%81%E0%B8%B2%E0%B8%B0,92,อาหารทะเล,41 - 80 ที่นั่ง,0,0,1,1,1,1,1,1,0,[],3.5,83.0,฿฿฿,ชลบุรี,0.0,ไข่ตุ๋นทะเลหม้อไฟ,ปูนิ่มผัดผงกระหรี่,แกงส้มไข่ปลาเซียว,1,46.0,54.0,30.0,0.0,0,0,0.0,0,0.0
4300,WASHIโรบินสัน บ่อวิน,https://www.wongnai.com/restaurants/502494ZJ-washi-%E0%B9%82%E0%B8%A3%E0%B8%9A%E0%B8%B4%E0%B8%99%E0%B8%AA%E0%B8%B1%E0%B8%99-%E0%B8%9A%E0%B9%88%E0%B8%AD%E0%B8%A7%E0%B8%B4%E0%B8%99,45,อาหารนานาชาติ,41 - 80 ที่นั่ง,0,0,1,1,1,1,1,1,1,[],4.3,43.0,฿฿฿฿,ชลบุรี,0.0,ชุดซาชิมิรวม,ซาชิมิแซลมอน,,1,2.0,2.0,0.0,0.0,0,0,2.0,0,0.0
4301,ครัวบ้านกลางทะเล,https://www.wongnai.com/restaurants/22152Jc-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87%E0%B8%97%E0%B8%B0%E0%B9%80%E0%B8%A5,53,อาหารทะเล,None,0,0,1,1,1,0,1,1,0,[],4.0,46.0,฿฿,ชลบุรี,0.0,หอยนางรมทรงเครื่อง,หอยแครงลวก,ห่อหมกมะพร้าวอ่อน,1,52.0,50.0,33.0,0.0,0,0,0.0,0,0.0
4302,พรแหนมเนือง ณ ศรีราชา สาขา2 ชากค้อ-ซอยวัดจีนสาขา 2,https://www.wongnai.com/restaurants/255573ij-%E0%B8%9E%E0%B8%A3%E0%B9%81%E0%B8%AB%E0%B8%99%E0%B8%A1%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B8%AD%E0%B8%87-%E0%B8%93-%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%B2-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B22-%E0%B8%8A%E0%B8%B2%E0%B8%81%E0%B8%84%E0%B9%89%E0%B8%AD-%E0%B8%8B%E0%B8%AD%E0%B8%A2%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%88%E0%B8%B5%E0%B8%99-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2-2,13,อาหารเวียดนาม,11 - 40 ที่นั่ง,0,1,1,1,0,1,0,0,0,[],3.9,8.0,฿฿,ชลบุรี,0.0,กุ้งกระเบื้อง,แหนมเนือง 4 ไม้,แหนมเนือง 5 ไม้,0,25.0,50.0,38.0,0.0,0,0,0.0,0,0.0
4303,เดือนตำถาด 24 ชั่วโมง,https://www.wongnai.com/restaurants/301823JK-%E0%B9%80%E0%B8%94%E0%B8%B7%E0%B8%AD%E0%B8%99%E0%B8%95%E0%B8%B3%E0%B8%96%E0%B8%B2%E0%B8%94-24-%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B9%82%E0%B8%A1%E0%B8%87,54,อาหารอีสาน/ร้านส้มตำ,มากกว่า 150 ที่นั่ง,0,1,1,1,1,1,1,1,1,[],3.9,36.0,฿฿,ชลบุรี,0.0,ส้มตำ,ต้มยำปลากระพง,ตำแตงปูปลาร้า,1,47.0,42.0,17.0,0.0,0,0,0.0,0,0.0
4304,ป้า บางพระ  (เจ้าเก่านาเกลือ),https://www.wongnai.com/restaurants/8731eG-%E0%B8%9B%E0%B9%89%E0%B8%B2-%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%9E%E0%B8%A3%E0%B8%B0-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%81%E0%B9%88%E0%B8%B2%E0%B8%99%E0%B8%B2%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B8%B7%E0%B8%AD,157,อาหารไทย,41 - 80 ที่นั่ง,0,0,0,1,1,1,1,1,1,"['อ่างเก็บน้ำ', 'กลมกล่อม', 'น้ำพริกไข่ปู']",3.9,132.0,฿฿,ชลบุรี,0.0,น้ำพริกไข่ปู,ปลาดุกทอดกรอบผัดเผ็ด,ทอดมันกุ้ง (เนื้อเด้งสดชิ้นใหญ่),1,62.0,67.0,0.0,0.0,0,0,14.0,0,0.0
4305,ป้าสร้อย อาหารตามสั่ง,https://www.wongnai.com/restaurants/120955wN-%E0%B8%9B%E0%B9%89%E0%B8%B2%E0%B8%AA%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2-%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%95%E0%B8%B2%E0%B8%A1%E0%B8%AA%E0%B8%B1%E0%B9%88%E0%B8%87,20,ก๋วยเตี๋ยว,41 - 80 ที่นั่ง,0,0,1,1,1,0,1,0,0,[],4.0,17.0,฿฿,ชลบุรี,0.0,หมึก กุ้ง ชุบแป้งทอด,ผัดไทกุ้งสด,ตำปูม้า ปลาร้า กุ้งสด,2,41.0,24.0,0.0,0.0,47,0,0.0,0,0.0
4306,SKETCH BOOK Art Café,https://www.wongnai.com/restaurants/11600vw-sketch-book-art-caf%C3%A9,155,คาเฟ่,11 - 40 ที่นั่ง,0,1,0,1,0,1,0,1,0,"['บรรยากาศ', 'เครื่องดื่ม', 'ด้านใน']",3.5,132.0,฿฿,ชลบุรี,0.0,กาแฟต่างๆ,กาแฟเย็น,ซาโมซ่า กล้วย Banana Samosa,0,61.0,37.0,49.0,0.0,0,0,0.0,0,0.0
