Name,URL,URL-href,เพื่อน,ครอบครัว,คู่รัก,จานด่วน,ประหยัด,เดลิเวอรี,หิวโซ,ปาร์ตี้,คุยธุรกิจ
After You Dessert Cafe,After You Dessert Cafeเซ็นทรัล ลาดพร้าว,https://www.wongnai.com/restaurants/afteryou-ladprao?_st=cD0yO2I9MTQ0NTc7YWQ9ZmFsc2U7dD0xNjEzODQxODc4MTIwO3JpPTFYN2E4aUo5eFk2dlNFd29nd0laRkwxc3EwY25USDtpPTFYNnpjMjRrVW1nb0FKV2dYY3MxN21qVldnbFdpSTs%3D,71,55,59,0,0,0,0,0,0
สุกี้ช้างเผือก,สุกี้ช้างเผือกหลัง มช.,https://www.wongnai.com/restaurants/215361CK-%E0%B8%AA%E0%B8%B8%E0%B8%81%E0%B8%B5%E0%B9%89%E0%B8%8A%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81-%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%87-%E0%B8%A1%E0%B8%8A?_st=cD0wO2I9MjE1MzYxO2FkPWZhbHNlO3Q9MTYxMzg0MTc2NjEzNTtyaT0xWDdhOGlJdnZlV0QyZkNYYXNmWjA4SWlrRXBBN0Y7aT0xWDZ6YzI0V1BjZW5TcXVjSVlIM3BnMlVwQlhKRk47,39,0,0,38,0,0,35,0,0
KAZOKU COFFEE HOUSE (PHITSANULOK),KAZOKU COFFEE HOUSE (PHITSANULOK)พิษณุโลก,https://www.wongnai.com/restaurants/kazoku?_st=cD01O2I9MTkwMzExO2FkPWZhbHNlO3Q9MTYxMzg0MTczMjA4MztyaT0xWDdhOGlJcmZqSmJoWHZZVWVIclhvd2kxT0lTUkg7aT0xWDZ6YzI0Uzg3cFhCNmhxWkNSOE95Q3hXSnBOWm07,39,22,29,0,0,0,0,0,0
Supanniga Eating Room Thonglor (ห้องทานข้าวสุพรรณิการ์ ทองหล่อ ),Supanniga Eating Room Thonglor (ห้องทานข้าวสุพรรณิการ์ ทองหล่อ )ทองหล่อ,https://www.wongnai.com/restaurants/supanniga-thl?_st=cD0xO2I9MTIzNTk4O2FkPWZhbHNlO3Q9MTYxMzg0MTc2NjE2MDtyaT0xWDdhOGlJdnhPZkVlMkhLSGIwTzltUWZoMEJhT087aT0xWDZ6YzI0V1BjZW5TcXVjSVlIM3BnMlVwQlhKRk47,57,56,37,0,0,0,0,0,0
Rock Me Burgers & Bar,Rock Me Burgers & Barลอยเคราะห์,https://www.wongnai.com/restaurants/rockmeburgers?_st=cD03O2I9MTQ5ODUyO2FkPWZhbHNlO3Q9MTYxMzg0MTU1Njc4OTtyaT0xWDdhOGlJVlhzSkFjUVBTUUpZMTlrbUpPNVJuRXY7aT0xWDZ6YzI0NjV4Ymg5TUtsTGo2Q0hkeUU0VXFxcDM7,64,34,0,0,0,0,34,0,0
หน่องริมคลอง,หน่องริมคลอง,https://www.wongnai.com/restaurants/nhongrimklong?_st=cD0zO2I9MTc1NTYzO2FkPWZhbHNlO3Q9MTYxMzg0MTQyMjMyNztyaT0xWDdhOGlJRWlvdUVxUldCanRjNEZzN3YwOGFkc2Y7aT0xWDZ6YzIzcEdZSXhvQXZIVkpYWEpSclQzMUs1bXE7d3JlZj1hbmRyb2lkOw%3D%3D,14,0,0,0,0,24,12,0,0
โชคดี แต่เตี้ยม,โชคดี แต่เตี้ยมตัวเมืองหาดใหญ่ 1,https://www.wongnai.com/restaurants/chokdeetaetiam?_st=cD01O2I9OTU4O2FkPWZhbHNlO3Q9MTYxMzg0MTUyMDE5MTtyaT0xWDdhOGlJUjJZVlZ3VXhiNG9kVFFDWFJlaHdUSks7aT0xWDZ6YzI0MVpxMzVHZE9oYWNIeGNreEZaNHNQMXA7,56,58,0,0,0,0,20,0,0
ซ้งเป็ดพะโล้,ซ้งเป็ดพะโล้สายไหม,https://www.wongnai.com/restaurants/120745Hq-%E0%B8%8B%E0%B9%89%E0%B8%87%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%94%E0%B8%9E%E0%B8%B0%E0%B9%82%E0%B8%A5%E0%B9%89-%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%AB%E0%B8%A1?_st=cD0yMTtiPTEyMDc0NTthZD1mYWxzZTt0PTE2MTM4NDE2OTYxMjE7cmk9MVg3YThpSW4yVzY5bTM3YU5zMndqTFNVRWs4eEZsO2k9MVg2emMyNE5VT0t3elhUVVFTejU2TXZXT1RXSWFZO3dyZWY9c3I7,49,55,0,0,0,0,21,0,0
อาหารใต้ บ้านฉลอง,อาหารใต้ บ้านฉลอง,https://www.wongnai.com/restaurants/229796dt-%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%83%E0%B8%95%E0%B9%89-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%89%E0%B8%A5%E0%B8%AD%E0%B8%87?_st=cD00O2I9MjI5Nzk2O2FkPWZhbHNlO3Q9MTYxMzg0MTczMjA4MjtyaT0xWDdhOGlJcmV0YW5ldkVkNXNVVDVwWGhSNFg0dU07aT0xWDZ6YzI0Uzg3cFhCNmhxWkNSOE95Q3hXSnBOWm07,32,33,7,0,0,0,0,0,0
ขนมเบื้องแม่ประภา,ขนมเบื้องแม่ประภาแมคโคร จรัญฯ,https://www.wongnai.com/restaurants/166002jO-%E0%B8%82%E0%B8%99%E0%B8%A1%E0%B9%80%E0%B8%9A%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A0%E0%B8%B2-%E0%B9%81%E0%B8%A1%E0%B8%84%E0%B9%82%E0%B8%84%E0%B8%A3-%E0%B8%88%E0%B8%A3%E0%B8%B1%E0%B8%8D%E0%B8%AF?_st=cD00O2I9MTY2MDAyO2FkPWZhbHNlO3Q9MTYxMzg0MTk1Njk2ODtyaT0xWDdhOGlKSm9FRzl1YlRraWgwMWREV0RLMWpzSjk7aT0xWDZ6YzI0dUtYZUk3MldEZEZWUGVveHg4aVFja1Y7,67,67,0,0,33,0,0,0,0
ตวง ติ่มซำ,ตวง ติ่มซำ,https://www.wongnai.com/restaurants/tuangdimsum,31,27,0,0,23,0,0,0,0
Bankara Ramen,Bankara RamenICONSIAM,https://www.wongnai.com/restaurants/422792kE-bankara-ramen-iconsiam?_st=cD0wO2I9NDIyNzkyO2FkPWZhbHNlO3Q9MTYxMzg0MTg3ODExMDtyaT0xWDdhOGlKQTJNOThRWlF1N252ZlRYTEt0WmtTdHE7aT0xWDZ6YzI0a1VtZ29BSldnWGNzMTdtalZXZ2xXaUk7,54,38,0,31,0,0,0,0,0
After You Dessert Cafe,After You Dessert CafeThe Portal Impact,https://www.wongnai.com/restaurants/269072XW-after-you-dessert-cafe-the-portal-impact?_st=cD02O2I9MjY5MDcyO2FkPWZhbHNlO3Q9MTYxMzg0MTkwMjA3MztyaT0xWDdhOGlKQ3ZleXJhV2FJVVM2VVpFRmJzTFN2MnQ7aT0xWDZ6YzI0bk9BSnNQQlZRR1FqSjZqaXhmWmxTVFk7,48,45,29,0,0,0,0,0,0
